@relation bus

@attribute weekday {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}
@attribute daytype {holiday, normal, non_working_day, weekend_holiday}
@attribute month {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@attribute eastertime {TRUE, FALSE}
@attribute christmastime {TRUE, FALSE}
@attribute nonschoolperiod {TRUE, FALSE}
@attribute schedule {1, 2, 3, 4}

@data
Saturday,normal,1,FALSE,FALSE,FALSE,1
Saturday,normal,1,FALSE,FALSE,FALSE,1
Saturday,normal,1,FALSE,FALSE,FALSE,1
Saturday,normal,1,FALSE,FALSE,FALSE,1
Saturday,normal,2,FALSE,FALSE,FALSE,1
Saturday,normal,2,FALSE,FALSE,FALSE,1
Saturday,normal,2,FALSE,FALSE,FALSE,1
Saturday,normal,2,FALSE,FALSE,FALSE,1
Saturday,normal,3,FALSE,FALSE,FALSE,1
Saturday,normal,3,FALSE,FALSE,FALSE,1
Saturday,normal,3,FALSE,FALSE,FALSE,1
Saturday,normal,3,FALSE,FALSE,FALSE,1
Saturday,normal,3,FALSE,FALSE,FALSE,1
Saturday,normal,4,TRUE,FALSE,FALSE,1
Saturday,normal,4,FALSE,FALSE,FALSE,1
Saturday,normal,4,FALSE,FALSE,FALSE,1
Saturday,normal,4,FALSE,FALSE,FALSE,1
Saturday,normal,5,FALSE,FALSE,FALSE,1
Saturday,normal,5,FALSE,FALSE,FALSE,1
Saturday,normal,5,FALSE,FALSE,FALSE,1
Saturday,normal,5,FALSE,FALSE,FALSE,1
Saturday,normal,6,FALSE,FALSE,FALSE,1
Saturday,normal,6,FALSE,FALSE,FALSE,1
Saturday,normal,6,FALSE,FALSE,FALSE,1
Saturday,normal,6,FALSE,FALSE,FALSE,1
Saturday,normal,6,FALSE,FALSE,FALSE,1
Saturday,normal,7,FALSE,FALSE,FALSE,1
Saturday,normal,7,FALSE,FALSE,FALSE,1
Saturday,normal,7,FALSE,FALSE,TRUE,1
Saturday,normal,7,FALSE,FALSE,TRUE,1
Saturday,normal,8,FALSE,FALSE,TRUE,1
Saturday,normal,8,FALSE,FALSE,TRUE,1
Saturday,normal,8,FALSE,FALSE,TRUE,1
Saturday,normal,8,FALSE,FALSE,TRUE,1
Saturday,normal,9,FALSE,FALSE,TRUE,1
Saturday,normal,9,FALSE,FALSE,TRUE,1
Saturday,normal,9,FALSE,FALSE,TRUE,1
Saturday,normal,9,FALSE,FALSE,FALSE,1
Saturday,normal,9,FALSE,FALSE,FALSE,1
Saturday,normal,10,FALSE,FALSE,FALSE,1
Saturday,normal,10,FALSE,FALSE,FALSE,1
Saturday,normal,10,FALSE,FALSE,FALSE,1
Saturday,normal,10,FALSE,FALSE,FALSE,1
Saturday,normal,11,FALSE,FALSE,FALSE,1
Saturday,normal,11,FALSE,FALSE,FALSE,1
Saturday,normal,11,FALSE,FALSE,FALSE,1
Saturday,normal,11,FALSE,FALSE,FALSE,1
Saturday,normal,12,FALSE,FALSE,FALSE,1
Saturday,normal,12,FALSE,FALSE,FALSE,1
Saturday,normal,12,FALSE,FALSE,FALSE,1
Monday,holiday,1,FALSE,FALSE,FALSE,1
Sunday,normal,1,FALSE,FALSE,FALSE,1
Sunday,normal,1,FALSE,FALSE,FALSE,1
Sunday,normal,1,FALSE,FALSE,FALSE,1
Sunday,normal,1,FALSE,FALSE,FALSE,1
Sunday,normal,2,FALSE,FALSE,FALSE,1
Sunday,normal,2,FALSE,FALSE,FALSE,1
Sunday,normal,2,FALSE,FALSE,FALSE,1
Sunday,normal,2,FALSE,FALSE,FALSE,1
Sunday,normal,3,FALSE,FALSE,FALSE,1
Sunday,normal,3,FALSE,FALSE,FALSE,1
Sunday,normal,3,FALSE,FALSE,FALSE,1
Sunday,normal,3,FALSE,FALSE,FALSE,1
Sunday,normal,4,TRUE,FALSE,FALSE,1
Sunday,normal,4,FALSE,FALSE,FALSE,1
Sunday,normal,4,FALSE,FALSE,FALSE,1
Sunday,normal,4,FALSE,FALSE,FALSE,1
Sunday,weekend_holiday,4,TRUE,FALSE,FALSE,1
Friday,holiday,4,TRUE,FALSE,FALSE,1
Wednesday,holiday,4,FALSE,FALSE,FALSE,1
Tuesday,holiday,5,FALSE,FALSE,FALSE,1
Sunday,normal,5,FALSE,FALSE,FALSE,1
Sunday,normal,5,FALSE,FALSE,FALSE,1
Sunday,normal,5,FALSE,FALSE,FALSE,1
Sunday,normal,5,FALSE,FALSE,FALSE,1
Sunday,normal,6,FALSE,FALSE,FALSE,1
Sunday,normal,6,FALSE,FALSE,FALSE,1
Sunday,normal,6,FALSE,FALSE,FALSE,1
Sunday,weekend_holiday,6,FALSE,FALSE,FALSE,1
Thursday,holiday,6,FALSE,FALSE,FALSE,1
Sunday,normal,7,FALSE,FALSE,FALSE,1
Sunday,normal,7,FALSE,FALSE,FALSE,1
Sunday,normal,7,FALSE,FALSE,TRUE,1
Sunday,normal,7,FALSE,FALSE,TRUE,1
Sunday,normal,7,FALSE,FALSE,TRUE,1
Sunday,normal,8,FALSE,FALSE,TRUE,1
Sunday,normal,8,FALSE,FALSE,TRUE,1
Sunday,normal,8,FALSE,FALSE,TRUE,1
Sunday,normal,8,FALSE,FALSE,TRUE,1
Wednesday,holiday,8,FALSE,FALSE,TRUE,1
Sunday,normal,9,FALSE,FALSE,TRUE,1
Sunday,normal,9,FALSE,FALSE,TRUE,1
Sunday,normal,9,FALSE,FALSE,FALSE,1
Sunday,normal,9,FALSE,FALSE,FALSE,1
Sunday,normal,9,FALSE,FALSE,FALSE,1
Sunday,normal,10,FALSE,FALSE,FALSE,1
Sunday,normal,10,FALSE,FALSE,FALSE,1
Sunday,normal,10,FALSE,FALSE,FALSE,1
Sunday,normal,10,FALSE,FALSE,FALSE,1
Friday,holiday,10,FALSE,FALSE,FALSE,1
Thursday,holiday,11,FALSE,FALSE,FALSE,1
Sunday,normal,11,FALSE,FALSE,FALSE,1
Sunday,normal,11,FALSE,FALSE,FALSE,1
Sunday,normal,11,FALSE,FALSE,FALSE,1
Sunday,normal,11,FALSE,FALSE,FALSE,1
Sunday,normal,12,FALSE,FALSE,FALSE,1
Sunday,normal,12,FALSE,FALSE,FALSE,1
Sunday,normal,12,FALSE,FALSE,FALSE,1
Sunday,normal,12,FALSE,FALSE,FALSE,1
Sunday,normal,12,FALSE,FALSE,FALSE,1
Saturday,weekend_holiday,12,FALSE,FALSE,FALSE,1
Saturday,weekend_holiday,12,FALSE,FALSE,FALSE,1
Tuesday,holiday,12,FALSE,FALSE,FALSE,1
Monday,normal,7,FALSE,FALSE,TRUE,2
Monday,normal,7,FALSE,FALSE,TRUE,2
Monday,normal,7,FALSE,FALSE,TRUE,2
Tuesday,normal,7,FALSE,FALSE,TRUE,2
Tuesday,normal,7,FALSE,FALSE,TRUE,2
Tuesday,normal,7,FALSE,FALSE,TRUE,2
Wednesday,normal,7,FALSE,FALSE,TRUE,2
Wednesday,normal,7,FALSE,FALSE,TRUE,2
Thursday,normal,7,FALSE,FALSE,TRUE,2
Thursday,normal,7,FALSE,FALSE,TRUE,2
Friday,normal,7,FALSE,FALSE,TRUE,2
Friday,normal,7,FALSE,FALSE,TRUE,2
Monday,normal,8,FALSE,FALSE,TRUE,2
Monday,normal,8,FALSE,FALSE,TRUE,2
Monday,normal,8,FALSE,FALSE,TRUE,2
Monday,normal,8,FALSE,FALSE,TRUE,2
Tuesday,normal,8,FALSE,FALSE,TRUE,2
Tuesday,normal,8,FALSE,FALSE,TRUE,2
Tuesday,normal,8,FALSE,FALSE,TRUE,2
Tuesday,normal,8,FALSE,FALSE,TRUE,2
Wednesday,normal,8,FALSE,FALSE,TRUE,2
Wednesday,normal,8,FALSE,FALSE,TRUE,2
Wednesday,normal,8,FALSE,FALSE,TRUE,2
Wednesday,normal,8,FALSE,FALSE,TRUE,2
Thursday,normal,8,FALSE,FALSE,TRUE,2
Thursday,normal,8,FALSE,FALSE,TRUE,2
Thursday,normal,8,FALSE,FALSE,TRUE,2
Thursday,normal,8,FALSE,FALSE,TRUE,2
Thursday,normal,8,FALSE,FALSE,TRUE,2
Friday,normal,8,FALSE,FALSE,TRUE,2
Friday,normal,8,FALSE,FALSE,TRUE,2
Friday,normal,8,FALSE,FALSE,TRUE,2
Friday,normal,8,FALSE,FALSE,TRUE,2
Friday,normal,8,FALSE,FALSE,TRUE,2
Monday,normal,9,FALSE,FALSE,TRUE,2
Monday,normal,9,FALSE,FALSE,TRUE,2
Tuesday,normal,9,FALSE,FALSE,TRUE,2
Tuesday,normal,9,FALSE,FALSE,TRUE,2
Wednesday,normal,9,FALSE,FALSE,TRUE,2
Wednesday,normal,9,FALSE,FALSE,TRUE,2
Thursday,normal,9,FALSE,FALSE,TRUE,2
Thursday,normal,9,FALSE,FALSE,TRUE,2
